#year,Title,Director,Cast,Genre,level,
2014,Baavare Prem He,Ajay Kishor Naik,"Siddharth Chandekar, Urmila Kanitkar","Musical,Romance",1,
2014,Tapaal,Laxman Utekar,"Nandu Madhav, Veena Jamkar, Urmila Kanitkar",Drama,2,
2014,Sanngto Aika,Satish Rajwade,"Sachin Pilgaonkar, Vaibhav Mangle, Milind Shinde","Comedy,Drama",1,
2014,Dr. Prakash baba Amte,Samruddhi Porey,"Nana Patekar, Sonali Kulkarni",Biopic,0,
2014,Ishq Wala Love,Renu Desai,"Adinath Kothare, Sulagna Panigrahi",Romance,1,
2014,Punha Gondhal Punha Mujra,Balkrushna Shinde,"Makarand Anaspure, Sayaji Shinde",Comedy,0,
2014,Pyaar Vali Love Story,Sanjay Jadhav,"Swapnil Joshi, Sai Tamhankar, Urmila Kanitkar,Sameer Dharmadhikari, Upendra Limaye","Comedy,Romance",1,
2014,Elizabeth Ekadashi,Paresh Mokashi,"Shrirang Mahajan, Sayali Bhandarkar, Pushkar Lonarkar, Nandita Dhuri","Comedy,Drama",2,
2014,Dhyaas 3D,Mandar Shinde,Suhas Palshikar,"Circus,Drama, 3D",1,
2014,Vitti Dandu,Ganesh Kadam,"Dilip Prabhavalkar, Ashok Samarth, Mrunal Thakur, Ravindra Mankani","Drama,Action",2,
2014,Mamachya Gavala Jaaoo Yaa,Sameer Joshi,"Abhijeet Khandkekar, Mrunmayee Deshpande","Comedy,Thriller",1,
2014,Happy Journey,Sachin Kundalkar,"Atul Kulkarni, Priya Bapat, Pallavi Subhash,Siddharth Menon","Drama,Comedy,Road Movie",1,
2014,Swami Public Ltd.,Gajendra Ahire,"Subodh Bhave, Vikram Gokhale, Chinmay Mandalekar, Vinay Apte, Saunskruti Kher","Drama,Thriller",2,
2014,Candle March,Sachin Dev,"Manva Naik, Tejaswini Pandit, Smita Tambe",Drama,2,
2014,Premasathi Coming Suun,Ankur Kakatkar,"Adinath Kothare, Jitendra Joshi, Neha Pendse,Resham Tipnis, Vijay Patkar, Suhas Joshi,Anchal Poddar",Romcom,0,
2014,Madhyamvarg: The Middle Class,Hari Fernandes,"Siddharth Jadhav, Ravi Kishan, Kashmira Kulkarni",Action,1,
2014,Miss Match,Girish Vasaikar,"Bhushan Pradhan, Mrinmai Kolwalkar, Uday Tikekar",Romance,0,
2014,Avatarachi Goshta,Nitin Dixit,"Ashish Vidyarthi, Adinath Kothare, Leena Bhagwat, Mihiresh Joshi","Comedy,Drama",1,
2014,IPL The Film,Deepak Kadam,"Swapnil Joshi, Santosh Mayekar, Shital K Upare, Kshitija Ghosalkar, Vijay Patkar",comedy,2,
2013,Ravi Jadhav,"Prathamesh Parab, Shashwati Pimplikar, Madan Devdhar, Kishor Kadam",Drama,[1],2,
2013,Dharmanand Vernekar,"Makarand Anaspure, Sayaji Shinde, Mohan Agashe, Savita Malpekar, Shilpa Anaspure",Drama,,2,
2013,Tejas Deoskar,"Sandeep Kulkarni, Kadambari Kadam, Sarika Nilatkar",Drama,,1,
2013,"Ashok Karlekar, Rajan Prabhu",,Romance,,1,
2013,Ramesh Namdeo Shirke,"Atul Todankar, Bhushan Kadu, Prashant Nigde",Drama,,2,
2013,Darshan Lolienkar,"Suneel Pednekar, Sonam Morajkar, Uday Salkar",Drama,,0,
2013,Wasim Maner,"Aditi Sarangdhar, Sadashiv Amrapurkar, Aishwarya Narkar, Sharvari Jamenis,Chinmay Mandlekar",Drama,[3],1,
2013,Nikhil Mahajan,"Girish Kulkarni, Sonali Kulkarni, Sai Tamhankar",Thriller,[4],0,
2013,Premachi Goshta,Satish Rajwade,"Atul Kulkarni, Sagarika Ghatge, Rohini Hattangadi, Sulekha Talvalkar, Meera Welankar, Satish Rajwade, Ajay Purkar",Romance,0,
2013,Ashach Eka Betavar,Sanjay Hinge,"Sanjay Narvekar, Ankush Chaudhari, Madhura Velankar-Satam, Sai Tamhankar, Sanjay Mone, Yatin Karyekar, Mangesh Desai, Sharad Ponkshe, Kamalesh Sawant, Punam Jadhav",Suspense,1,
2013,Jay Maharashtra Dhaba Bhatinda,Avadhoot Gupte,"Abhijeet Khandkekar,Prarthana Behere, Vikram Gokhale, Puneet Issar, Priyadarshan Jadhav, Janhavi Prabhu-Arora,Avadhoot Gupte",Drama,0,
2013,Love is Vaat,Rohaan Satghare,"Amit Bhanushali, Vijay Chavan, Kranti Redkar",Comedy,1,
2013,Sasubai Gelya Chorila,Dnyaneshwar Aangane,"Vishakha Subhedar,Kuldeep Pawar, Arun Kadam, Girish Pardeshi, Amit Bhanushali, Ashlesha Patil, Tejaswi Patil",Comedy,0,
2013,Dhating Dhingana,Mandar Devasthali,"Ankush Choudhary, Prasad Oak, Aditi Sarangdhar,Neelam Shirke, Atul Parchure, Shweta Shinde,Anand Abhyankar, Digamber Naik, Arun Nalawade, Vandana Gupte, Uday Sabnis, Smita Talwalkar, Savita Malpekar",Comedy,1,
2013,Aakant,Mansingh Pawar,"Milind Shinde, Aditi Sarangdhar, Anvay Bendre, Deepa Chaphekar, Rajeet Govilkar, Santosh Bhosale, Gajanan Bhise, Arun Khandagale, Dilip Raj",Romance,0,
2013,Tuhya Dharma Koncha?,Satish Manwar,"Upendra Limaye, Vibhawari Deshpande, Suhas Palshikar, Ramesh Medhekar, Kishor Kadam",Drama,1,
