YEAR,TITLE,Genre,DIRECTOR,CAST,Level
2006,Notebook,,Rosshan Andrrews,"Roma Asrani, Parvati Menon, Maria Roy, Sanjay",1
2006,November Rain,,Vinu Joseph,,1
2006,Nottam,,Sasi Paravur,"Arun, Samvrutha",1
2006,Onnara Vattu,,,,1
2006,Oruvan,,Vinu Anand,Indrajith Sukumaran,1
2006,Out of Syllabus,,Viswanathan,,1
2006,Pachakuthira,,Kamal,"Dileep, Gopika",1
2006,Pakal,,M. A. Nishad,Prithviraj,1
2006,Palunku,,Blessy,"Mammootty, Jagathy Sreekumar",1
2006,Parayam,,Anil,"Jishnu, Bhavana Menon",1
2006,Pathaaka,,K. Madhu,Suresh Gopi,1
2006,Photographer,,Ranjan Pramod,Mohanlal,1
2006,Pothan Vava,,Joshi,"Mammooty, Usha Uthup, Bijukkuttan",1
2006,Prajapathy,,Ranjith,Mammotty,1
2006,Pulijanmam,,Priyanandanan,"Murali, Samvrutha Sunil",1
2006,Raashtram,,Anil C. Menon,Suresh Gopi,1
2006,Rasathanthram,,Satyan Anthikad,"Mohanlal, Meera Jasmine",1
2006,Ravanan,,Jojo K. Varghees,"Kalabhavan Mani, Reni",1
2006,Red Salute,,Vinod Vijayan,Kalabhavan Mani,1
2006,Saira,,Dr. Biju,"Nedumudi Venu, Navya Nair",1
2006,Smart City,,Unnikrishnan B.,"Suresh Gopi, Gopika, Manoj K. Jayan, Murali",1
2006,Thanthra,,K. J. Bose,Siddique,1
2006,The Don,,Shaji Kailas,Dileep,1
2006,Thuruppu Gulan,,Johny Antony,"Mammooty, Sneha",1
2006,Vaasthavam,,M. Padmakumar,"Prithviraj, Kavya Madhavan",1
2006,Vargam,,M. Padmakumar,"Prithviraj, Renuka Menon",1
2006,Vrindavanam,,Vishwanathan,,1
2006,Vadakkumnathan,,Shajoon Karyal,"Mohanlal, Padmapriya",1
2006,Yes Your Honour,,V. M. Vinu,"Sreenivasan, Padmapriya",1
2006,Ammathottil,,,,1
2006,Narakaasuran,,,,1
2006,Meghavarsham,,,,1
2006,Shyaamam,,,,1
2006,Kali,,,,1
2006,Arunam,,,,1
2006,Aadu Thoma,,,,1
2006,Chakkara Muthu,,,,1
2006,Interpol,,,,1
2006,Raagolsavam,,,,1
2006,Mukhamariyaathe,,,,1
2006,Baalyam,,,,1
2006,Mouryan,,,,1
2006,Baba Kalyani,,,,1
2006,Indraneelam,,,,1
2006,Valathukaal Vachu,,,,1
2006,9 KK Road,,,,1
2007,Naalu Pennungal,,Adoor Gopalakrishnan,"Padmapriya, Kavya Madhavan, Geethu Mohandas, Nandita Das, Manju Pillai",2
2007,Ore Kadal,,Shyama Prasad,"Mammootty, Meera Jasmine, Ramya Krishnan",2
2007,Thaniye,,Babu Thiruvalla,"Nedumudi Venu, Lakshmi Gopalaswamy",2
2007,Paradesi,,P.T. Kunju Muhammed,"Mohanlal, Padmapriya, Lakshmi Gopalaswamy",2
2007,Ottakkayyan,,G R Indugopan,"Harisree Ashokan, Rani Babu, Ashokan, T G Ravi",2
2007,Arabikkatha,,Lal Jose,"Sreenivasan, Zhang Shu Min",2
2007,Kaiyoppu,,Renjith,"Mammootty, Khushboo",2
2008,Of The People,,Jayaraj,"Arun, Padmakumar, Arjun",2
2008,Novel,,East Coast Vijayan,"Jayaram, Sadha",2
2008,Roudram,,Ranji Panicker,Mammootty,2
2008,College Kumaran,,Thulasidas,"Mohanlal, Vimala Raman",2
2008,Sound of Boot,,Shaji Kailas,Suresh Gopi,2
2008,Calcutta News,,Blessy,Dileep,2
2008,Cycle,,Johny Antony,"Vineeth Sreenivasan, Bhama, Vinu Mohan, Sandhya,Jagathy Sreekumar",2
2008,Malabar Wedding,,Rajesh-Faisal,"Indrajith, Gopika",2
2008,Kerala Police,,Chandrashekaran,"Kalabhavan Mani, Swarnamalya, Lakshmi Sharma",2
2008,Shalabham,,Suresh Palanshery,"Ramya Nambeeshan, Sudheesh, Kaithapram Damodaran Namboothiri",2
2008,Mohitham,,Saleem Baba,"Rajin Roshan, Kollam Thulasi, Sphadikam George",2
2008,Gopalapuranam,,K. K. Haridas,"Mukesh, Saikumar",2
2008,Jubilee,,G George,"Innocent, Saikumar, Jagathy, Manoj K. Jayan",2
2008,Innathe Chinthavisheyam,,Sathyan Anthikkad,"Mohanlal, Meera Jasmine",2
2008,Currency,,Swathy Bhaskar,"Jayasurya, Mukesh, Kalabhavan Mani",2
2008,De Ingottu Nokkiye,,Balachandra Menon,"Jayasurya, Jagathy Sreekumar, Sarah, Thilakan,Edavela Babu",2
2008,Innathe Chintha Vishayam,,Sathyan Anthikkad,"Mohanlal, Meera Jasmine, Mamukkoya",2
2008,Mulla,,Lal Jose,Dileep,2
2008,Pachamarathanalil,,Leo Thaddeus,"Sreenivasan, Padmapriya, Sukanya",2
2008,Positive,,V. K. Prakash,"Jayasurya, Suraj Venjaramood, Manikkuttan,Saikumar",2
2008,Shakespeare M.A. Malayalam,,Shaiju - Shaji,"Jayasurya, Roma, Kalabhavan Mani, Jagathy Sreekumar",2
2008,Swarnam,,Venugopan,"Kalabhavan Mani, Jagathy Sreekumar, Murali",2
2008,Aandavan,,Akbar Jose,"Kalabhavan Mani, Sindhu Menon, Jagathy Sreekumar",2
2008,Annan Thambi,,Anwar Rasheed,Mammootty,2
2008,Akasha Gopuram,,Henrik Ibsen (story); K. P. Kumaran (script),"Mohanlal, Sreenivasan, Nithya Menen",2
2008,Mizhikal Sakshi,,Ashok R. Nath,"Mohanlal, Sukumari, Nedumudi Venu, Mala Aravindan",2
2008,Magic Lamp,,Haridas,"Jayaram, Meena Durairaj, Divya Unni, Oduvil Unnikrishnan",2
2008,One Way Ticket,,Bipin Prabhakar,"Mammootty, Prithviraj Sukumaran, Bhama, Jagathy Sreekumar, Thilakan",2
2008,Madambi,,B. Unnikrishnan,"Mohanlal, Kavya Madhavan",2
2008,Minnaminnikkoottam,,Kamal,"Narain, Indrajith, Jayasurya, Samvrutha Sunil, Meera Jasmin, Roma",2
2008,Parunthu,,M. Padmakumar,"Mammootty, Lakshmi Rai, Jagathy Sreekumar",2
2008,Laptop,,Rupesh Paul,"Suresh Gopi, Padmapriya",2
2008,Kanichukulangarayil CBI,,Suresh Vinu,"Manoj K. Jayan, Saikumar",2
2008,Kabadi Kabadi,,Sudheer Manu,"Kalabhavan Mani, Mukesh, Rambha",2
2008,Aayudham,,Nishad,"Suresh Gopi, Karthika, Bala, Bharathi, Biju Menon",2
2008,SMS,,Surjulan,"Bala, Navya Nair, Mukesh",2
2008,Veruthe Oru Bharya,,Akku Akbar; Gireesh Kumar,"Jayaram, Gopika",2
2008,Parthan Kanda Paralokam,,Anil,"Jayaram, Sreedevika",2
2008,Thirakkatha,,Ranjith,"Prithviraj, Priyamani, Anoop Chandran",2
2008,Thalappavu,,Madhupal,Prithviraj,2
2008,Chithrasalabhangalude Veedu,,Krishnakumar,Master Ganapathy,2
2008,Apoorva,,Nithin Ramakrishnan,"Sajeev, Helen, Ajay Sathyan",2
2008,Adayalangal,,M. G. Sasi,"Govind Padmasurya, Jyothirmayi, T. G. Ravi",2
2008,Kurukshetra,,Major Ravi,Mohanlal,2
2008,Mayabazar,,T. A. Razakh,Mammootty,2
2008,Rathri Mazha,,Lenin Rajendran,"Vineeth, Meera Jasmin, Manoj K. Jayan, Biju Menon",2
2008,Gulmohar,,Jayaraj,"Renju, Siddique, Neena Mathew",2
2008,Twenty:20,,Joshy; Uday Krishnan-Sibi Thomas,"Mammootty, Mohanlal, Suresh Gopi, Jayaram, and many members of AMMA",2
