Year,Title,Genre,Director,Cast,Level
2015,Ranna,Action,Nanda Kishore,"Sudeep, Rachita Ram, Hariprriya, Madhoo, Prakash Raj, Devaraj, Sadhu Kokila",2
2015,Vidaaya,Drama,P. Sheshadri,"Suchendra Prasad, Lakshmi Gopalaswamy, H. G. Dattatreya, Pratham",2
2015,Vajrakaya,Action,Harsha. A,"Shiva Rajkumar, Karunya Ram, Nabha Natesh, Sadhu Kokila, Avinash",2
2015,Aata Paata,Children,Kodlu Ramakrishna,"Kumari Lahari, Jai Jagadish, Ramesh Bhat, Suchithra, Padmaja Rao, Arjun Devayya",2
2015,Ganapa,Drama,Prabhu Srinivas,"Santhosh, Priyanka, Padmaja Rao, Petrol Prasana, Tharun Kumar, Kalyan Kumar, Devadarshini",2
2015,Goolihatti,Action,Shashank Raj,"Pavan Surya, Tejaswini, Aman, Raghavendra, Adi Lokesh, Appu Venkatesh, Mahesh, Doddanna, Mamatha Rahuth",2
2015,Aarambha,Drama,Abhi Hanakere,"Mithun Prakash, Kavya, Abhirami, Rasagavala Narayan, Baby Hasini",2
2015,Rangi Taranga,Mystery thriller,Anup Bhandari,"Nirup Bhandari, Avantika Shetty, Radhika Chetan, Sai Kumar",2
2015,Fashion,Drama,Mohamed Ziaulla,"Gagan Nimesh, Athishri Sarkar, Shefali Singh, Samikshaa Bhat",2
2015,Preethiyinda,Romance,Raju Halaguru,"Rakesh Adiga, Soniya Gowda, Avinash, Ramesh Bhat, Girija Lokesh",2
2015,Bullet Basya,Comedy,Jayatheertha,"Sharan, Haripriya, Yathiraj Jaggesh, Rangayana Raghu",2
2015,Mane Thumba Bari Jamba,Drama,Arunesh - Naveen,"Jagadish, Mahesh, Lakshmish Bhat, Akshata, Jyothi Gowda, Anita",2
2015,Kanasu,Drama,Santhosh Shetty Kateel,"Gangadhar Bellare, Chidananda Kamath, Thammanna Shetty, Vasantha Lakshmi",2
2015,Lodde,Comedy,S. V. Suresh Raj,"Komal Kumar, Akanksha Puri, Shayaji Shinde, Avinash",2
2015,Red Alert,Crime action,Chandra Mahesh,"Mahadevan, Anjana Menon, Suman, Vinod Alva, Bullet Prakash, Kurigalu Prathap",2
2015,Sapno Ki Rani,Romance,A. R. Babu,"Srujan Lokesh, Aishwarya Shindogi, Chikkanna, Ashok",2
2015,Shirdi Sri Saibaba,Animation,M. R. Balakrishna,"Sudharshan, Asha, Kavya, Rahul, Abhi, Chandana (voice-overs)",2
2015,Male,Romantic Comedy,Tejas,"Prem Kumar, Amulya, Sadhu Kokila, Bullet Prakash",2
2015,Buguri,Romantic Comedy,M. D. Sridhar,"Ganesh, Richa Panai, Erica Fernandes, Sadhu Kokila",2
2015,Uppi 2,Psychological thriller,Upendra,"Upendra, Kristina Akheeva, Parul Yadav, Priyanka Upendra",2
2015,Shh Eccharike,Horror,Nagaraj Kandagal,"Maruthi, Akshatha, Baby Shreya, Ajith",2
2015,Aatagara,Suspense thriller,K. M. Chaitanya,"Chiranjeevi Sarja, Meghana Raj, Parul Yadav, Ananth Nag, P. Ravi Shankar, Anu Prabhakar, Dwarakish",2
2015,Drohi,Drama,Parashuram B. Dalanjana,"Jashwanth Jadhav, Prakash Naik, Amruthashree",2
2015,Muddu Manase,Romance,Ananth Shine,"Arun Gowda, Nithya Ram, Aishwarya Nag",2
2015,RX Soori,Romantic Crime drama,Sreejay,"Duniya Vijay, Akankshaa, Ravi Shankar, Adi Lokesh",2
2015,Om Namaha,Drama,Vijayendran,"Vijayendran, Vaidehi, Petrol Prasanna",2
2015,141,Erotic drama,Bhavaji,"Farooq Khan, Tanya, Kavya Acharya",2
2015,Billa,Action,"Rama Narayanan
 Shiva Maamani","Krishnadev, Anjana, Shravanth, Sudharani, Bhavya, Jai Jagadish, Ashok",2
2015,Geetha Bangle Store,Drama,Manju Mithra,"Pramod Panju, Sushmitha, Achyuth Kumar, Guruprasad, Bhavya, Vinaya Prasad, Mandya Ramesh",2
2015,Kendasampige,Romance,Duniya Soori,"Santhosh Reva, Manvitha Harish, Rajesh, Sheethal Shetty, Prakash Belawadi",2
2015,Namak Haraam,Romantic action,Nagaraj Peenya,"Krishna Mahesh, RJ Rapid Rashmi, Rajendra Karanth, Yathiraj, Girija Lokesh",2
2015,Charlie,Action,Shiva,"Krishna, Vaishali Deepak, Milana Nagaraj",2
2015,Luv U Alia,Romance,Indrajit Lankesh,"V. Ravichandran, Bhoomika Chawla, Chandan Kumar, Sangeetha Chauhan, Sudharani, Sudeep, Sunny Leone, Srujan Lokesh",2
2015,Neene Bari Neene,Romance,Deepak Thimmaiah,"Aneesh Tejeshwar, Deepika Kamaiah, Samyukta Hornad",2
2015,Arjuna,Romantic thriller,P. C. Shekar,"Prajwal Devaraj, Bhama, Devaraj, Ramesh Bhat, Sheethal Shetty",2
2015,A 2nd Hand Lover,Romance,Raghav Marasur,"Ajay Rao, Pranitha Subhash, Anisha Ambrose, Aishwarya, Sadhu Kokila",2
2015,Aa Rathri,Thriller,Mandya Nagaraj,"Ravi Chethan, Amithashree",2
2015,Chandrika,Horror,Yogesh M,"Jayram Karthik, Kamna Jethmalani, Srimukhi, Girish Karnad, Chikkanna",2
2015,Naanu Avanalla...Avalu,Drama,B. S. Lingadevaru,"Sanchari Vijay, Shwetha Desai, Aravind Kuplikar, Madhushree",2
2015,Mr. Airavata,Action,A. P. Arjun,"Darshan, Urvashi Rautela, Prakash Raj, Ananth Nag, Sadhu Kokila, Bullet Prakash",2
2015,Thamisra,Horror,Prakash Hassan,"Sugreev, Kavya, Sandeep R. Nair, Jeevan Suresh",2
