Language,Year,Title,Genre,Director,Cast
Hindi,2014,Happy New Year,Action/Comedy,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah[112]"
Hindi,2014,Mumbai Can Dance Saala,Drama,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Shakti Kapoor, Rakhi Sawant[113]"
Hindi,2014,Fireflies,Drama,Sabal Singh Sheikhawat,"Rahul Khanna, Monica Dogra, Arjun Mathur, Shivani Ghai, Aadya Bedi[114]"
Hindi,2014,Roar - Tigers of Sunderbans,Drama/Action,Kamal Sadanah,"Pulkit Jawahar, Pranay Dixit, Abhinav Shukla, Achint Kaur[115]"
Hindi,2014,Super Nani,Drama,Indra Kumar,"Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar[116]"
Hindi,2014,Chaar Sahibzaade,Animation/Historical,Harry Baweja,Animated characters of Guru Gobind Singh and his four sons.[117]
Hindi,2014,Rang Rasiya,Drama,Ketan Mehta,"Randeep Hooda, Nandana Sen, Paresh Rawal, Ashish Vidyarthi, Sachin Khedekar[118]"
Hindi,2014,A Decent Arrangement,Drama,Sarovar Banka,"Shabana Azmi, Adam Laupus, Lethia Nall, Farid Currim, Shreya Sharma, Vikram Kapadia, Navniit Nisshan, Adhir Bhat[119]"
Hindi,2014,The Shaukeens,Comedy,Abhishek Sharma,"Akshay Kumar, Anupam Kher, Annu Kapoor, Lisa Haydon,Piyush Mishra[120]"
Hindi,2014,6 - 5 = 2,Found footage / Horror,Bharat Jain,"Prashanth Gupta, Niharica Raizada, Ashruth Jain, Gaurav Kothari, Disha Kapoor[121]"
Hindi,2014,Kill Dil,Romance/Drama,Shaad Ali,"Ranveer Singh, Parineeti Chopra, Ali Zafar, Govinda[122]"
Hindi,2014,Golu Aur Pappu,Comedy,Kabir Sadanand,"Vir Das, Kunaal Roy Kapur, Shobhit Rana, Dimple Kapadia, Deepak Tijori[123]"
Hindi,2014,Happy Ending,Romance/Comedy,Raj Nidimoru and Krishna DK,"Saif Ali Khan, Ileana D'Cruz, Govinda, Ranvir Shorey, Kalki Koechlin[124]"
Hindi,2014,Titoo MBA,Romance/Comedy,Amit Vats,"Nishant Dahiya, Pragya Jaiswal, Abhishek Kumar[125]"
Hindi,2014,Wah Taj,Drama,Ajit Sinha,"Shreyas Talpade, Manjari Fadnis, Hemant Pandey, Rajesh Sharma, Vishwajeet Pradhan, Rakesh Shrivastav[126]"
Hindi,2014,Hum Hai Teen Khurafaati,Comedy,Rajeshwar Chauhan,"Heena Panchal, Mausam Sharma, Pranshu Kaushal, Shrey Chhabra, Vrajesh Hirjee, Hemant Pandey, Razzak Khan, Brijendra Kala, Manoj Bakshi[127]"
Hindi,2014,Ungli,Drama,Rensil D'Silva,"Emraan Hashmi, Randeep Hooda, Kangna Ranaut, Neil Bhoopalam, Angad Bedi, Sanjay Dutt[128]"
Hindi,2014,Zed Plus,Drama,Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Mukesh Tiwari, Sanjay Mishra, Kulbhushan Kharbanda, Rahul Singh, Shivani Tanksale, K K Raina, Ekavali Khanna, Anil Rastogi[129]"
Hindi,2014,Zid,Erotica/Thriller,Vivek Agnihotri,"Karanvir Sharma, Barbie Handa, Shraddha Das[130]"
Hindi,2014,Action Jackson,Comedy,Prabhu Deva,"Ajay Devgn, Sonakshi Sinha, Yami Gautam, Manasvi Mamgai, Sonu Sood, Kunaal Roy Kapur[131]"
Hindi,2014,Bhopal: A Prayer for Rain,Drama,Ravi Kumar,"Martin Sheen, Mischa Barton, Rajpal Yadav, Tannishtha Chatterjee, Akhil Mishra, Fagun Thakrar, Joy Sengupta, Kal Penn, Martin Brambach, David Brooks, Vineet Kumar, Satish Kaushik, Vasanth Santosham, Manoj Joshi[132]"
Hindi,2014,Mumbai Delhi Mumbai,Drama,Satish Rajwade,"Shiv Pandit, Piaa Bajpai[133]"
Hindi,2014,Sulemani Keeda,Social/Drama,Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev[134]"
