#Year,Title,Genre,Director,Cast,Level
2014,Jump Jilani,Comedy,E. Satti Babu,"Allari Naresh, Isha Chawla, Swathi Dixit, Posani Krishna Murali, Raghu Babu",1
2014,Jabilli Kosam Akasamalle,Action / Romance,Raj Narendra,"Sri Hari, Anoop Tej, Smrithika Acharya",0
2014,Oohalu Gusagusalade,Romance / Drama,Srinivas Avasarala,"Naga Shourya, Rashi Khanna",1
2014,Maine Pyaar Kiya,Romance,Pradeep Madugula,"Pradeep Ryan, Isha Talwar,Madhumitha",0
2014,Autonagar Surya,Political Thriller,Deva Katta,"Naga Chaitanya, Samantha Ruth Prabhu, Saikumar, Rakul Preet Singh",1
2014,Inka Emi Anukoledu,Romance,Sreekara Babu,"Rahman, Deshpathi, Shreeraj, Archana",0
2014,Ra Ra... Krishnayya,Romance,Mahesh. P,"Sundeep Kishan, Jagapathi Babu, Regina Cassandra, Kalyani,Tanikella Bharani",1
2014,Aa Aiduguru,Action,Anil Gurudu,"Siddharth Raj, Asmita Sood, Venkat, Tanishk Reddy, Krishna Teja, Posani Krishna Murali, Kota Srinivasa Rao, Babu Mohan",0
2014,Jumbare Jumbakucha jumbaku jumbaku cha,Action,Anil Gurudu,"Siddharth Raj, Asmita Sood, Venkat, Tanishk Reddy, Krishna Teja, Posani Krishna Murali, Kota Srinivasa Rao, Babu Mohan",0
2014,Drushyam,Action / Drama,Sripriya,"Venkatesh, Meena, Nadhiya, Naresh, Kalabhavan Shajon",2
2014,Ice Cream,Horror / Thriller,Ram Gopal Varma,"Navdeep, Tejaswi Madivada",2
2014,Alludu Seenu,Action,V.V. Vinayak,"Bellamkonda Srinivas, Samantha, Prakash Raj, Tamannaah,Brahmanandam",1
2014,Run Raja Run,Action,Sujeeth,"Sharwanand, Seerat Kapoor, Adivi Sesh, Sampath Raj, Kota Srinivasa Rao, Vennela Kishore",1
2014,Adavi Kachina Vennela,Action / Drama,Akki Vishwanadha Reddy,"Arvind Krishna, Meenakshi Dixit, Richard Rishi, Pooja Ramachandran",0
2014,Maaya,Action / Thriller,Neelakanta,"Harshvardhan Rane, Avanthika, Nagababu",1
2014,Gallo Telinattunde,Romance,D. Venkat Suresh,"Ajay, Kousalya",1
2014,Chatting,Romance,T.S.Kamal,"Abhinaya Krishna, Sunitha",2
2014,Galipatam,Romance,Naveen Gandhi,"Aadi, Erica Fernandes, Kristina Akheeva",2
2014,Nuvvala Nenila,Romance,Trinadha Rao Nakkina,"Varun Sandesh, Poorna",1
2014,Janmasthanam,Action / Thriller,Om Sai Prakash,"Sai Kumar, Roopika, Pavani",0
2014,Geethanjali,Horror / Comedy,Raj Kiran,"Anjali, Brahmanandam, Srinivasa Reddy",1
2014,Lovers,Romance,Harinath,"Sumanth Ashwin, Nanditha",2
2014,Nee Jathaga Nenundali,Romance,Jaya Ravindra,"Sachiin J Joshi, Nazia Hussain, Rao Ramesh",1
2014,Kiraak,Romance,Harik Devabhakthuni,"Aniruddh, Chandini Tamilarasan",1
2014,Rabhasa,Action / Drama,Santosh srinivas,"Jr.NTR, Samantha, Pranitha Subhash",1
2014,Boochamma Boochodu,Suspense Thriller,Revan Yadu,"Sivaji, Kainaz Motivala, Brahmanandam, Posani Krishna Murali",1
2014,Ganpati Bappa Morya,Drama,Ramu Kumar ASK,"Srinadh, Rajasekhar, Mallesh, Riteesh",1
2014,Weekend Love,Romance,Nagu Gavara,"Sri Hari, Adit, Supriya Shailaja, M. S. Narayana, Chandra Mohan",0
2014,Power,Action / Drama,K. S. Ravindra,"Ravi Teja, Hansika, Regina Cassandra, Sampath Raj",1
2014,Boy Friend Leni Ammayi Unda,Drama,Shiva Nagu,"Bhavani Agarwal, Mega Supreme, Kanchana Maitra",0
2014,Anukshanam,Thriller,Ram Gopal Varma,"Vishnu Manchu, Navdeep, Tejaswi Madivada, Madhu Shalini,Revathi",1
2014,Aagadu,Action / Drama,Srinu Vaitla,"Mahesh Babu, Tamannaah, Rajendra Prasad, Sonu Sood,Brahmanandam",2
2014,Loukyam,Action,Sriwass,"Gopichand, Rakul Preet Singh, Brahmanandam",1
2014,Govindudu Andarivadele,Drama,Krishna Vamsi,"Ram Charan, Kajal Agarwal, Prakash Raj, Meka Srikanth,Kamalinee Mukherjee",1
2014,Romeo,Romance,Gopi Ganesh,"Sairam Shankar, Adonika, Ravi Teja",1
2014,Paathasala,Thriller,Mahi V. Raghav,"Nandu, Anu, Priya, Sirisha, Sai Kiran, Shiva, Sashaank",1
2014,Dikkulu Choodaku Ramayya,Romance,Trikoti,"Naga Shourya, Sana Makbul, Ajay, Indraja",1
2014,Oka Laila Kosam,Romance,Vijay Kumar Konda,"Naga Chaitanya, Pooja Hegde",1
2014,Karthikeya,Action / Thriller,Chandoo Mondeti,"Nikhil Siddharth, Swati Reddy, Tanikella Bharani, Rao Ramesh",1
2014,Current Theega,Romantic comedy,Nageshwara Reddy,"Manchu Manoj, Rakul Preet Singh, Jagapati Babu, Sunny Leone",2
2014,Jai Hind 2,Action,Arjun Sarja,"Arjun Sarja, Simran Kapoor, Surveen Chawla, Rahul Dev",2
2014,Brother of Bommali,Comedy / Drama,B. Chinni Krishna,"Allari Naresh, Karthika Nair",0
2014,Joru,Action / Drama,Kumar Nagendra,"Sundeep Kishan, Rashi Khanna , Priya Banerjee",1
2014,Parampara,Family drama,Madhu Mahankali,"Naresh, Aamani, Raavi Kondala Rao",0
2014,Poga,Horror,Shankar Marthand,"Navdeep, Madhu Shalini",1
2014,Erra Bus,Romantic Drama,Dasari Narayana Rao,"Manchu Vishnu, Catherine Tresa, Brahmanandam, Dasari Narayana Rao",1
2014,Pilla Nuvvu Leni Jeevitham,Action drama,A. S. Ravi Kumar Chowdhary,"Sai Dharam Tej, Regina Cassandra, Jagapati Babu, Prakash Raj, Shayaji Shinde",1
2014,Atreya,Children,Shanthikumar Chilumula,"Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi",0
2014,Ice Cream 2,Thriller,Ram Gopal Varma,"J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva",2
2014,Rowdy Fellow,Action / Drama,Krishna Chaitanya,"Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh",0
2014,Naa Bangaaru Talli,Drama,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy",1
2014,33 Prema Kathalu,Romance,Siva Ganesh,"Vivek, Sunitha Marasiar, Sravani",0
2014,Yamaleela 2,Fantasy drama,S. V. Krishna Reddy,"Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu,Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi",1
2014,Rough,Romance Action,C. H. Subba Reddy,"Aadi, Rakul Preet Singh, Srihari, Raghu Babu",1
2014,Ala Ela,Comedy,Aneesh Krishna,"Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel",1
2014,Chakkiligintha,Romance,Vema Reddy,"Sumanth Ashwin, Rehana",1
2014,Lakshmi Raave Maa Intiki,Romance,Nandyala Ravi,"Naga Shourya, Avika Gor",1
2014,The End,Horror,Rahul Sankrityan,"Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy",1
2014,Vundile Manchi Kalam Mundu Mundura,Drama,Arun Daasyam,"Sudhakar Komakula, Avantika Mohan",0
2014,Ee Varsham Sakshiga,Romance,Ramana Mogili,"Varun Sandesh, Haripriya",0
2014,Saheba Subramanyam,Romance,Sasikiran Naryana,"Dilip Kumar, Priyanka Gor, Rao Ramesh",0
2014,O Manishi Katha,Drama,Radha Swamy Avula,"Jagapati Babu, Kalyani",0
2014,Mukunda,Drama,Srikanth Addala,"Varun Tej, Pooja Hegde, Prakash Raj, Rao Ramesh,Brahmanandam",2
2014,Chinnadana Nee Kosam,Romance,A. Karunakaran,"Nithiin, Mishti, Nassar, Naresh, Sithara, Ali",1
2013,Sevakudu,Action,V. Samudra,"Srikanth, Charmy Kaur, Krishna, Manjula Swaroop",0
2013,916 KDM Premaa,Romance,Hemanth,"Kranti, Simar, Roopa Kaur, Vaibhav, Silver Suresh",0
2013,Naayak,Action,V. V. Vinayak,"Ram Charan Teja, Kajal Aggarwal, Amala Paul,Brahmanandam",1
2013,Seethamma Vakitlo Sirimalle Chettu,Family drama,Srikanth Addala,"Mahesh Babu, Venkatesh, Anjali, Samantha,Prakash Raj, Jayasudha",2
2013,Satruvu,,NSR Prasad,"Srikanth, Aksha",1
2013,Case no 666/2013,Found footage,"Venkat Siddareddy, Purnesh Konathala","Charan Tej, Aditya, Nanda Kishore, Guru Charan, Anurag, Nikitha",0
2013,Ongole Githa,Action,Bhaskar,"Ram Pothineni, Kriti Kharbanda",1
2013,Bullabbai,Romantic comedy,Yuvaraju,"Krishnudu, Brahmanandam, Shravani",1
2013,Mirchi,"Romance,Action",Koratala Siva,"Prabhas, Anushka Shetty, Richa Gangopadhyay, Sathyaraj, Nadhiya",2
2013,Okkadine,Romance,Srinivas Raga,"Nara Rohit, Nithya Menen",1
2013,Chammak Challo,Romance,G. Neelakanta Reddy,"Varun Sandesh, Sanchita Padukone, Catherine Tresa, Vennela Kishore, Srinivas Avasarala",1
2013,Jabardasth,Romantic comedy,Nandini Reddy,"Siddharth, Samantha, Nithya Menen",1
2013,Mr. Pellikoduku,Romantic comedy,Devi Prasad,"Sunil, Isha Chawla, Ravi Babu, Ali",1
2013,Race,Romance,Ramesh Raparthi,"Vikram, Karthik, Bharat Kishore, Disha Pandey, Nikitha Narayanan",2
2013,Gundello Godari,Drama,Kumar Nagendra,"Aadhi, Lakshmi Manchu, Sundeep Kishan,Taapsee Pannu",2
2013,Mahankali,Action,Jeevitha Rajasekhar,"Rajasekhar, Madhurima, Pradeep Rawat",0
2013,Telugabbai,Romance,Vo Yes Avinash,"Tanish, Remya Nambeesan, Tashu Kaushik,Naga Babu, Sona Nair",1
2013,3G Love,Romantic comedy,Govardhan Krishna,"Avinash, Neelima, Rao Ramesh, Prabhas Sreenu",2
2013,Backbench Student,Romance,Madhura Sreedhar Reddy,"Mahat Raghavendra, Piaa Bajpai, Archana Jose Kavi",2
2013,Rai Rai,Romance,Sudhir Raju,"Sri, Aksha",0
2013,Bakara,Comedy,CSR Krishnan,"Srihari, Pradeep, Yashika, Pawan,Brahmanandam",1
2013,Swamy Satyananda,Satire,Madan Patel,"Ravi Chetan, Neha, Anku, Madan Patel",0
2013,Swamy Ra Ra,"Comedy,Thriller",Sudhir Varma,"Nikhil, Swati Reddy, Ravi Babu, Pooja Ramachandran, Jeeva",2
2013,Priyathama Neevachata Kushalama,Romance,Trinadha Rao Nakkina,"Varun Sandesh, Hasika, Komal Jha",0
2013,Aravind 2,Thriller,Sekhar Suri,"Sri, Madhavi Latha, Srinivas Avasarala, Kamal Kamaraju, Adonica",0
2013,Jaffa,Comedy,Vennela Kishore,"Brahmanandam, Ali (actor)",1
2013,Baadshah,Action,Srinu Vaitla,"Jr. NTR, Kajal Aggarwal, Navdeep, Mukesh Rishi",1
2013,Jai Sriram,Action,Balaji N. Sai,"Uday Kiran, Reshma Rathod, Nagineedu, M. S. Narayana, Chalapathi Rao",1
2013,Vasool Raja,Drama,Karthika Gopalakrishnan,"Navdeep, Srihari, Ritu Barmecha, Sathyam Rajesh",0
2013,Gunde Jaari Gallanthayyinde,Romance,Vijay Kumar Konda,"Nitin, Nithya Menen, Isha Talwar, Ali",1
2013,Gouravam,Drama/Action,Radha Mohan,"Allu Sirish, Yami Gautam, Prakash Raj, Nassar",0
2013,Shadow,ActionEntertainer,Meher Ramesh,"Venkatesh, Tapsee, Srikanth, Madhurima",1
2013,Greeku Veerudu,Romance,Kondapalli Dasaradh Kumar,"Nagarjuna, Nayantara, Meera Chopra, K. Vishwanath, Brahmanandam",1
2013,Tadakha,Action,Kishore Kumar Pardasani,"Naga Chaitanya, Tamannaah, Sunil, Andrea Jeremiah",1
2013,Love Touch,Romance,Sri Chand,Jayanth and Dhruthi,2
2013,Sukumarudu,Romance,G. Ashok,"Aadi, Nisha Aggarwal, Krishna, Sharada,Chandra Mohan",1
2013,143 Hyderabad,Drama,Selva Ganesh,"Arjun, Anand, Dhansika, Jagan",1
2013,Chemistry,Romance,Vachespathy Jonnalagadda,"Sree Ram, Amitha Rao",1
2013,Iddarammayilatho,Romance,Puri Jagannadh,"Allu Arjun, Amala Paul, Catherine Tresa",1
2013,Pavitra,Drama,Janardhan Maharshi,"Shriya Saran, Roja, Sai Kumar,Brahmanandam",0
2013,Theatre Lo Naluguru,Thriller,Srinivasa Raju Dendukuri,"Srikanth Raghava, Dheeraj, Swetha Pandit, Varun Abhinay",0
2013,Prema Katha Chitram,Romance,J. Prabhakar Reddy,"Sudheer Babu, Nanditha Raj, ""Adhurs"" Raghu",1
2013,Saradaga Ammayitho,Romance,Bhanu Shankar,"Varun Sandesh, Nisha Agarwal, Charmee, K. Vishwanath, Brahmanandam",0
2013,Something Something,Romantic comedy,Sundar C.,"Siddharth, Hansika Motwani, Brahmanandam,Ganesh Venkatraman",2
