YEAR,Title,Genre,Director,Cast,LEVEL
2000,Kizhakku Kadalkarai Salai,Romance,S. S. Stanley,"Srikanth, Bhavana",2
2000,Vathiyar,Action,A. Venkatesh,"Arjun, Mallika Kapoor",2
2000,Aavani Thingal,Romance,Hari Krishna,"Srikumar, Madhusa, Tejini",2
2000,Prathi Gnayiru 9.30 to 10.00,Thriller,M. Anbu,"Ramesh, Poornitha, Karunas",2
2000,Rendu,Action comedy,Sundar C.,"R. Madhavan, Reemma Sen, Anushka Shetty",2
2000,Sivappathigaram,Action,Karu Pazhaniappan,"Vishal, Mamta Mohandas, Raghuvaran",2
2000,Iruvar Mattum,Thriller,Dwaraki Raghavan,"Abhinay, Sunitha Varma",2
2000,Idhu Kadhal Varum Paruvam,Adult,Kasthuri Raja,"Harish Kumar, Kiran, Lakshmi Priya, Preeti Buttali",2
2000,Nenjil Jil Jil,Romance,Selva,"Navdeep, Aparna Pillai",2
2000,Chennai Kadhal,Romance,Vikraman,"Bharath, Genelia D'Souza",2
2000,Aadu Puli Aatam,Action,Sanjay Ram,"Mani Prakash, Vennila, Rekha Sri",2
2000,Ganapathy Vanthachi,Drama,P. C. Guna,"Udhaya, Pandu, Charle",2
2000,Nenjirukkum Varai,Romance,S. A. Chandrasekhar,"Narain, Poonam Kaur",2
2000,Thiruvilaiyaadal Aarambam,Romantic Comedy,Boopathy Pandian,"Dhanush, Shriya Saran, Prakash Raj",2
2000,Veyil,Drama,Vasanthabalan,"Pasupathy, Bharath, Bhavana, Sriya Reddy, Priyanka Nair",2
2000,Azhagiya Asura,Romance,Nagu,"Yogi, Regina, Nanditha Jennifer",2
2000,Ilakannam,Romance,Chandraseyan,"Ram, Uma",2
2000,Poi,Romance,K. Balachander,"Uday Kiran, Vimala Raman, Geethu Mohandas",2
2000,Thirudi,Romance,K. Shankar,"Murli, Dhanya",2
2000,Thagapansamy,Action,Shiva Shanmugam,"Prashanth, Pooja, Namitha",2
2000,Adaikalam,Drama,Bhuvanaraja,"Prashanth, Uma, Thyagarajan",2
2000,Kaasu,Romance,Gowri Manohar,"Rahman, Sangeetha, Rajashri",2
2001,Kalakkura Chandru,Comedy,Raviraja,"Karthik, Bhuvana, Pandiarajan, Urvashi",2
2001,Aalwar,Action,Chella,"Ajith Kumar, Asin",2
2001,Pokkiri,Action,Prabhu Deva,"Vijay, Asin, Prakash Raj, Vadivelu",2
2001,Thaamirabharani,Action,Hari,"Vishal, Bhanu, Nadhiya, Prabhu",2
2001,Veerasamy,Drama,T. Rajender,"T. Rajender, Mumtaj, Meghna Naidu",2
2001,Deepavali,Romance,Ezhil,"Jayam Ravi, Bhavana",2
2001,Pori,Action,Subramaniya Siva,"Jiiva, Pooja",2
2001,Agaram,Drama,T. Nagarajan,"Nandha, Archana",2
2001,Lee,Action Thriller,Prabu Solomon,"Sibiraj, Nila, Prakash Raj",2
2001,Pachaikili Muthucharam,Thriller,Gautham Menon,"Sarath Kumar, Jyothika, Andrea Jeremiah",2
2001,Mozhi,"Romance, Comedy",Radha Mohan,"Prithviraj, Jyothika, Prakash Raj, Swarnamalya",2
2001,Paruthiveeran,Drama,Ameer,"Karthi, Priyamani",2
2001,Murugaa,Romance,R. T. Nesan,"Ashok, Shruti Sharma, Samiksha",2
2001,Muni,Horror,Raghava Lawrence,"Raghava Lawrence, Vedhika, Rajkiran, Kovai Sarala",2
2001,Thirumagan,Action,M. Rathnakumar,"S. J. Surya, Meera Jasmine, Malavika, Ranjith",2
2001,Nanbanin Kadhali,Romance,G. Kicha,"Kunal, Vikramaditya, Shivani Singh",2
2001,Sabari,Action,Suresh,"Vijayakanth, Jyothirmayi, Malavika",2
2001,Kuttrapathirikai,Drama,R. K. Selvamani,"Ramki, Rahman, Roja, Ramya Krishnan",2
2001,Manikanda,Action,Selva,"Arjun, Jyothika",2
2001,Adavadi,Psychological thriller,V. S. Bharath Hanna,"Sathyaraj, Radha",2
2001,Koodal Nagar,Romance,Seenu Ramasamy,"Bharath, Bhavana, Sandhya",2
2001,Kuppi,Thriller,A. M. R. Ramesh,"Nassar, Ravi Kale, Anne Malavika",2
2001,Kaanal Neer,Drama,Chinni Jayanth,"J. K. Rithesh, Monisha",2
2001,Maya Kannadi,Romance,Cheran,"Cheran, Navya Nair",2
2001,Unnale Unnale,Romance,Jeeva,"Vinay Rai, Sadha, Tanisha Mukherjee",2
2001,Madurai Veeran,Action,Vincent Selva,"Githan Ramesh, Saloni Aswani",2
2001,Mudhal Kanave,Romance,Balamurugan,"Vikranth, Honey Rose",2
2001,Naan Avanillai,Thriller,Selva,"Jeevan, Sneha, Jyothirmayi, Namitha, Malavika, Keerthi Chawla",2
2001,Chennai 600028,Comedy,Venkat Prabhu,"Shiva, Jai, Nithin Sathya, Aravind Akash, Premji, Vijayalakshmi, Kristine Zedek",2
2001,Dhandayuthapani,Drama,Saravana Sakthi,"Suresh Raja, Sona",2
2001,Parattai Engira Azhagu Sundaram,Action,Suresh Krishna,"Dhanush, Meera Jasmine",2
2001,Achacho,Drama,Balray,"Srihari, Varshini",2
2001,Kaasu Irukkanum,Drama,Kumaran,"Vishwakumar, Bayal",2
2001,Niram,Drama,Krishna,"Mani, Risha, Vasanthi",2
2001,Periyar,Biopic,Gnana Rajasekaran,"Sathyaraj, Jyothirmayi, Kushboo",2
2001,Ninaithale,Romance,Viswas Sundar,"Suchindra, Nargis Bagheri, Santhoshi",2
2001,Thiru Ranga,Drama,Bhargavan,"Santosh, Ankitha, Tejashree",2
2001,Karuppusamy Kuththagaithaarar,Drama,Murthy,"Karan, Meenakshi",2
2001,Ninaithu Ninaithu Parthen,Romance,Manikandan,"Vikranth, Aashitha",2
2001,Bali,Drama,Jesudas,"Sri, Rimpi",2
2001,Nee Naan Nila,Drama,M. P. S. Sivakumar,"Bharathan, Magna",2
2001,Rasigar Mandram,Drama,Thangaraj,"Ganesh, Uma, Bhanu",2
2001,Pirappu,Drama,Ilangovan,"Prabha, Karthika, Kadhal Saranya",2
2001,Sivaji,Action,Shankar,"Rajinikanth, Shriya Saran, Vivek, Suman",2
2001,Thullal,Romance,Praveen Kanth,"Praveen Kanth, Gurleen Chopra, Sonika",2
2001,Ennai Paar Yogam Varum,Comedy,Jameen Raj,Mansoor Ali Khan,2
2001,Viyabari,Drama,Sakthi Chidambaram,"S. J. Surya, Tamannaah, Namitha, Malavika",2
2001,Maa Madurai,Drama,K. K. Krishnan,"Vaasan Karthik, Mithuna",2
2001,Kireedam,Drama,A. L. Vijay,"Ajith Kumar, Trisha Krishnan, Rajkiran",2
2001,Thee Nagar,Action,Thirumalai,"Karan, Udhayathara",1
2001,Veerappu,Action,Badri,"Sundar C., Gopika, Prakash Raj",1
2001,Thottal Poo Malarum,Romance,P. Vasu,"Sakthi Vasu, Gowri Munjal, Rajkiran",1
2001,Arya,Romance,Balasekaran,"R. Madhavan, Bhavana",1
2001,En Uyirinum Melana,Drama,K. R. Jeya,"Ajith Chander, Radhika Menon, Ranjith",1
2001,Pallikoodam,Drama,Thangar Bachan,"Narain, Sneha, Shriya Reddy, Seeman",1
2001,Anbu Thozhi,Drama,L. G. Ravichandran,"Thol Thirumavalavan, Prabhu, Preethi Varma",1
2001,Tholaipesi,Romance,K. Paneer Selvam,"Vikramaditya, Priyanka Nair, Divya",1
2001,Ammuvagiya Naan,Drama,Padmamagan,"R. Parthiban, Bharathi",1
2001,Oru Ponnu Oru Payyan,Drama,Naren Deivanayagam,"Sandeep, Roopasree, Shubha Poonja",1
2001,Urchagam,Action,Ravichandran,"Nandha, Sherin",1
2001,Cheena Thaana 001,Comedy,T. P. Gajendran,"Prasanna, Sheela, Vadivelu",1
2001,Marudhamalai,Action,Suraj,"Arjun, Nila, Vadivelu",1
2001,Thoovanam,Drama,"Harichandran, Newton","Adhitya, Nethra",1
2001,18 Vayasu Puyale,Drama,Vijay,"Ajay Pradeep, Preethi Varma",1
2001,Inimey Nangathan,Animation,Venky Babu,,1
2001,Manase Mounama,Drama,Senthil Thamizharasu,"Ranjan, Sanya",1
2001,Satham Podathey,Thriller,Vasanth,"Prithviraj, Padmapriya, Nithin Sathya",1
2001,Thirutham,Action,Ponraman,"Harikumar, Priyanka Nair",1
2001,Vasantham Vanthachu,Romance,Vivek Bharathy,"Venkat Prabhu, Nanditha Jennifer",1
2001,Nam Naadu,Action,Suresh,"Sarath Kumar, Karthika",1
2001,Nenjai Thodu,Thriller,Rajkannan,"Gemini, Lakshmi Rai",1
2001,Piragu,Drama,Jeeva,"Hamsavardhan, Keerthi Chawla, Sunitha Verma",1
2001,Sivi,Horror,K. R. Sendhilnathan,"Yogi Srinivasan, Jayashree Rao, Anuja Iyer",1
